id,name,category,status,local_dataset_relative_path,local_non_partial_files,local_non_partial_bytes,audited_outputs,evidence
EEG-0005,A dataset of neonatal EEG recordings with seizure annotations,医疗与疾病,processed_and_audited,,,,79,已有当前统一格式产物；单位、参考、标签、QC 问题按分支保留
EEG-0006,American Epilepsy Society Seizure Prediction Challenge,医疗与疾病,processed_and_audited,,,,473,已有当前统一格式产物；单位、参考、标签、QC 问题按分支保留
EEG-0008,Bonn EEG Seizure Dataset,医疗与疾病,processed_and_audited,,,,500,已有当前统一格式产物；单位、参考、标签、QC 问题按分支保留
EEG-0009,CHB-MIT,医疗与疾病,processed_and_audited,,,,686,已有当前统一格式产物；单位、参考、标签、QC 问题按分支保留
EEG-0010,Criteria for defining interictal epileptiform discharges in EEG: a clinical validation study,医疗与疾病,processed_and_audited,,,,100,已有当前统一格式产物；单位、参考、标签、QC 问题按分支保留
EEG-0011,EPILEPSIAE European Epilepsy Database,医疗与疾病,not_downloaded,,,,0,在当前 EEG collection 的采集记录、实际数据目录及处理配置中未取得对应信号；网页链接、发现清单和元数据不算已下载
EEG-0013,HFO (High-Frequency Oscillations),医疗与疾病,processed_and_audited,,,,30,已有当前统一格式产物；单位、参考、标签、QC 问题按分支保留
EEG-0014,HMS Harmful Brain Activity Classification,医疗与疾病,processed_and_audited,,,,17089,已有当前统一格式产物；单位、参考、标签、QC 问题按分支保留
EEG-0015,HUP iEEG Epilepsy Dataset,医疗与疾病,processed_and_audited,,,,348,已有当前统一格式产物；单位、参考、标签、QC 问题按分支保留
EEG-0016,vEpiSet (Interictal Epileptiform Discharge EEG Dataset),医疗与疾病,processed_and_audited,,,,25449,已有当前统一格式产物；单位、参考、标签、QC 问题按分支保留
EEG-0017,Intracranial entrainment reveals statistical learning across levels of abstraction,医疗与疾病,processed_and_audited,,,,30,已有当前统一格式产物；单位、参考、标签、QC 问题按分支保留
EEG-0018,Kaggle UPenn and Mayo Clinic Seizure Detection,医疗与疾病,processed_and_audited,,,,34993,已有当前统一格式产物；单位、参考、标签、QC 问题按分支保留
EEG-0020,MORGOTH HEP,医疗与疾病,not_downloaded,,,,0,在当前 EEG collection 的采集记录、实际数据目录及处理配置中未取得对应信号；网页链接、发现清单和元数据不算已下载
EEG-0021,MORGOTH IIIC-Test,医疗与疾病,not_downloaded,,,,0,在当前 EEG collection 的采集记录、实际数据目录及处理配置中未取得对应信号；网页链接、发现清单和元数据不算已下载
EEG-0022,MORGOTH IIIC-Train,医疗与疾病,not_downloaded,,,,0,在当前 EEG collection 的采集记录、实际数据目录及处理配置中未取得对应信号；网页链接、发现清单和元数据不算已下载
EEG-0023,MORGOTH MoE-External,医疗与疾病,not_downloaded,,,,0,在当前 EEG collection 的采集记录、实际数据目录及处理配置中未取得对应信号；网页链接、发现清单和元数据不算已下载
EEG-0024,MORGOTH MoE-Internal,医疗与疾病,not_downloaded,,,,0,在当前 EEG collection 的采集记录、实际数据目录及处理配置中未取得对应信号；网页链接、发现清单和元数据不算已下载
