id,name,historical_group,current_status,current_scope,current_batches,unit_or_label_review,evidence,current_category
EEG-0005,A dataset of neonatal EEG recordings with seizures annotations,original_62_processed,processed_time_domain,disease,18,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0006,American Epilepsy Society Seizure Prediction Challenge,local_14,processed_time_domain,disease,104,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0007,BEED,local_14,excluded_non_time_domain,excluded,,,BEED excluded as unrecoverable EEG feature table,已排除
EEG-0008,Bonn EEG Seizure Dataset,original_62_processed,processed_time_domain,disease,0,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0009,CHB-MIT,original_62_processed,processed_time_domain,disease,19,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0010,Criteria for defining interictal epileptiform discharges in EEG: a clinical validation study,original_62_processed,processed_time_domain,disease,7,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0011,EPILEPSIAE European Epilepsy Database,missing_23,not_acquired,not_acquired,,,2026-09-13 retained acquisition path has no signal payload,医疗与疾病
EEG-0012,Harvard EEG Database,missing_23,not_acquired,not_acquired,,,2026-09-13 retained acquisition path has no signal payload,意识与状态
EEG-0013,HFO (High-Frequency Oscillations),original_62_processed,processed_time_domain,disease,23,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0014,HMS Harmful Brain Activity Classification,local_14,processed_time_domain,disease,105,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0015,HUP iEEG Epilepsy Dataset,original_62_processed,processed_time_domain,disease,38,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0016,Interictal Epileptiform Discharge EEG Dataset,original_62_processed,processed_time_domain,disease,4,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0017,Intracranial entrainment reveals statistical learning across levels of abstraction,original_62_processed,processed_time_domain,disease,39,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0018,Kaggle UPenn and Mayo Clinic Seizure Detection,local_14,processed_time_domain,disease,107,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
EEG-0020,MORGOTH HEP,missing_23,not_acquired,not_acquired,,,2026-09-13 retained acquisition path has no signal payload,医疗与疾病
EEG-0021,MORGOTH IIIC-Test,missing_23,not_acquired,not_acquired,,,2026-09-13 retained acquisition path has no signal payload,医疗与疾病
EEG-0022,MORGOTH IIIC-Train,missing_23,not_acquired,not_acquired,,,2026-09-13 retained acquisition path has no signal payload,医疗与疾病
EEG-0023,MORGOTH MoE-External,missing_23,not_acquired,not_acquired,,,2026-09-13 retained acquisition path has no signal payload,医疗与疾病
EEG-0024,MORGOTH MoE-Internal,missing_23,not_acquired,not_acquired,,,2026-09-13 retained acquisition path has no signal payload,医疗与疾病
EEG-0025,MORGOTH ON,missing_23,not_acquired,not_acquired,,,2026-09-13 retained acquisition path has no signal payload,医疗与疾病
EEG-0026,MORGOTH SAI,missing_23,not_acquired,not_acquired,,,2026-09-13 retained acquisition path has no signal payload,医疗与疾病
EEG-0027,MORGOTH SN2-Test,missing_23,not_acquired,not_acquired,,,2026-09-13 retained acquisition path has no signal payload,医疗与疾病
EEG-0028,MORGOTH SN2-Train,missing_23,not_acquired,not_acquired,,,2026-09-13 retained acquisition path has no signal payload,医疗与疾病
EEG-0030,OpenNeuro ds003029 Epilepsy iEEG Multicenter,original_62_processed,processed_time_domain,disease,34,See per-branch audit; processed status does not imply calibration/diagnosis complete,disease_audit_20260913/scope.json,医疗与疾病
