domain,source,status,catalog_ids,neuroatlas_hours,focus_scope,category,access,url,download,note
Epilepsy,Helsinki neonatal,原目录已覆盖,EEG-0005,106,疾病/临床,医疗与疾病 / 癫痫,,,见目录入口,
Epilepsy,CHB-MIT,原目录已覆盖,EEG-0009,983,疾病/临床,医疗与疾病 / 癫痫,,,见目录入口,
Epilepsy,Siena,原目录已覆盖,EEG-0032,137,疾病/临床,医疗与疾病 / 癫痫,,,见目录入口,
Epilepsy,SeizeIT1,本轮补入,EEG-0602,5900,疾病/临床,医疗与疾病 / 癫痫,当前不可申请,https://rdr.kuleuven.be/dataset.xhtml?persistentId=doi:10.48804/P5Q0OJ,伦理批准已过期；当前无法获取，建议使用 SeizeIT2,"NeuroAtlas 5.9k h；SzCORE 当前公开基准口径 4,211 h。"
Epilepsy,SeizeIT2,原目录已覆盖,EEG-0031,24000,疾病/临床,医疗与疾病 / 癫痫,,,见目录入口,"NeuroAtlas 24k h；本地文件审计 11,626.2 h，属于版本/范围差异。"
Epilepsy,TUSZ,原目录已覆盖,EEG-0036,1500,疾病/临床,医疗与疾病 / 癫痫,,,见目录入口,TUSZ 是 TUEG 子集，来源并集用 TUEG 父集替换，不重复相加。
Epilepsy,Epilepsiae,原目录已覆盖,EEG-0011,26000,疾病/临床,医疗与疾病 / 癫痫,,,见目录入口,
Epilepsy,TUAB,原目录已覆盖,EEG-0107,,疾病/临床,医疗与疾病 / 异常 EEG,,,见目录入口,record-level cohort；不把未知小时估为精确值。
Epilepsy,NMT,原目录已覆盖,EEG-0106,,疾病/临床,医疗与疾病 / 异常 EEG,,,见目录入口,record-level cohort；不把未知小时估为精确值。
Epilepsy,Bonn,原目录已覆盖,EEG-0008,,疾病/临床,医疗与疾病 / 癫痫,,,见目录入口,短片段 record-level benchmark。
Sleep,CFS,原目录已覆盖,EEG-0116,,健康/人群,意识状态 / 睡眠分期,,,见目录入口,
Sleep,DCSM,本轮补入,EEG-0603,,疾病/临床,医疗与疾病 / 临床睡眠,公开下载,https://erda.ku.dk/public/archives/db553715ecbe1f3ac66c1dc569826eef/published-archive.html,ERDA ZIP；或 ut fetch --dataset dcsm --out_dir data/dcsm,
Sleep,DOD,原目录已覆盖,EEG-0122,,疾病/临床,意识状态 / 睡眠分期,,,见目录入口,
Sleep,HMC,原目录已覆盖,EEG-0125,,疾病/临床,意识状态 / 睡眠分期,,,见目录入口,
Sleep,HomePAP,原目录已覆盖,EEG-0126,,疾病/临床,意识状态 / 睡眠分期,,,见目录入口,
Sleep,ISRUC,原目录已覆盖,EEG-0128,,疾病/临床,意识状态 / 睡眠分期,,,见目录入口,
Sleep,MASS,原目录已覆盖,EEG-0130,,健康/人群,意识状态 / 睡眠分期,,,见目录入口,
