list_id,name,subcategory,catalog_targets,outputs,identity_namespace_entries,dataset_subject_entries_all_species,duration_hours,output_bytes,events,full_one_second_patches,channel_counts,source_sampling_rates,unit_status_output_counts,qc_flag_counts,array_label_record_counts,reference_type_output_counts,reference_status_output_counts,array_error_outputs,outside_event_rows
EEG-0005,A dataset of neonatal EEG recordings with seizure annotations,Epilepsy_and_Abnormalities,1,79,79,79,111.89583333333333,5676528188,1801,402825,[19],[256.0],"{""verified_from_file"": 79}","{""channel_order_not_verified"": 79}","{""neonatal_seizure_expert_disagreement"": 18, ""neonatal_seizure_unanimous_consensus"": 39, ""unanimous_no_neonatal_seizure"": 22}","{""recorded_against_publisher_documented_midline_reference_exact_electrode_unspecified"": 79}","{""documented_scheme_exact_electrode_unknown"": 79}",0,0
EEG-0006,American Epilepsy Society Seizure Prediction Challenge,Epilepsy_and_Abnormalities,1,473,2,2,78.83333333333333,3900529943,473,283800,"[15, 24]",[5000.0],"{""documented"": 473}",{},"{""interictal"": 92, ""preictal"": 36, ""publisher_test_label_hidden"": 345}","{""native_monopolar_extracranial_or_skull_fixed_reference"": 473}","{""documented_by_project_owner_exact_electrode_not_encoded"": 473}",0,0
EEG-0008,Bonn EEG Seizure Dataset,Epilepsy_and_Abnormalities,1,500,0,0,3.2777777777778074,10816002,500,11500,[1],[173.61],"{""documented"": 500}","{""subject_id_not_verified"": 500}","{""healthy_eyes_closed"": 100, ""healthy_eyes_open"": 100, ""ictal_seizure"": 100, ""interictal_set_F"": 100, ""interictal_set_N"": 100}","{""dataset-specific intracranial/scalp single-channel segments"": 500}","{""documented_dataset_specific"": 500}",0,0
EEG-0009,CHB-MIT,Epilepsy_and_Abnormalities,1,686,23,23,982.9352777777777,58794978509,884,3538567,"[18, 22, 23, 24, 26, 32]",[256.0],"{""verified_from_file"": 686}","{""channel_order_not_verified"": 686}","{""no_annotated_seizure_in_recording"": 545, ""recording_contains_annotated_seizure"": 141}","{""publisher_recorded_bipolar_and_mixed_clinical_derivations_retained_per_file"": 686}","{""documented_from_edf_and_case_summary_channel_labels"": 686}",0,0
EEG-0010,Criteria for defining interictal epileptiform discharges in EEG: a clinical validation study,Epilepsy_and_Abnormalities,1,100,100,100,0.35083333333333333,24222612,212,1263,"[19, 25]",[500.0],"{""verified_from_file"": 100}",{},"{""epilepsy"": 54, ""nonepileptic_paroxysmal_event"": 46}","{""EDF labels identify a common Ref but retained sources do not name the reference electrode"": 100}","{""unknown_in_retained_source_metadata"": 100}",0,0
EEG-0013,HFO (High-Frequency Oscillations),Epilepsy_and_Abnormalities,1,30,30,30,89.00694444444444,5502823566,30,320425,"[23, 24]","[1024.0, 2048.0]","{""documented"": 30}",{},"{""pediatric_epilepsy"": 30}","{""G2"": 30}","{""documented_from_inherited_bids_task_eeg_json_reference_not_materialized"": 30}",0,0
EEG-0014,HMS Harmful Brain Activity Classification,Epilepsy_and_Abnormalities,1,17089,1950,1950,380.28,13847214297,106800,1369008,[19],[200.0],"{""documented"": 17089}","{""postprocess_sustained_high_amplitude"": 3146, ""flatline_ge_5s"": 200, ""near_constant_channel"": 1}","{""no_record_wide_label_window_labels_in_events"": 17089}","{""referential_storage_unspecified_reference"": 17089}","{""not_encoded_in_parquet_official_figures_show_derived_bipolar_montage"": 17089}",0,0
EEG-0015,HUP iEEG Epilepsy Dataset,Epilepsy_and_Abnormalities,1,348,58,58,49.769444444444446,15137131968,426,179170,"[36, 49, 50, 54, 55, 63, 64, 71, 73, 77, 83, 84, 86, 87, 89, 92, 94, 96, 100, 101, 102, 106, 108, 111, 113, 114, 115, 117, 118, 120, 122, 125, 126, 136, 148, 149, 156, 159, 161, 164, 169, 172, 176, 185, 195]","[256.0, 500.0, 512.0, 1024.0]","{""verified_from_file"": 348}","{""channel_order_not_verified"": 348, ""flatline_ge_5s"": 5, ""near_constant_channel"": 5, ""postprocess_sustained_high_amplitude"": 1}","{""drug_resistant_focal_epilepsy"": 348}","{""publisher iEEGReference is n/a; deposited ECoG/SEEG channels are retained without an invented rereference"": 348}","{""unknown_in_retained_source_metadata"": 348}",0,13
EEG-0016,vEpiSet (Interictal Epileptiform Discharge EEG Dataset),Epilepsy_and_Abnormalities,1,25449,84,84,28.241666666666667,1915696587,25449,101670,[23],[500.0],"{""inferred_from_numeric_range_and_primary_paper_amplitudes"": 25449}","{""channel_order_not_verified"": 25449, ""unit_not_verified"": 25449, ""postprocess_sustained_high_amplitude"": 1603}","{""centro_parietal_ied"": 366, ""frontal_ied"": 458, ""generalized_ied"": 573, ""non_ied"": 22933, ""occipital_ied"": 417, ""temporal_ied"": 702}","{""unknown"": 25449}","{""unknown_in_primary_article_and_materialized_arrays"": 25449}",0,0
EEG-0017,Intracranial entrainment reveals statistical learning across levels of abstraction,Epilepsy_and_Abnormalities,1,30,8,8,1.2263472222222223,551788522,4,4402,"[116, 125, 168, 181, 188, 191, 223]",[4096.0],"{""verified_from_file"": 30}","{""channel_order_not_verified"": 30}","{""epilepsy_intracranial_monitoring"": 30}","{""publisher EEGReference is n/a; deposited contacts are retained without an invented rereference"": 30}","{""unknown_in_retained_source_metadata"": 30}",0,0
EEG-0018,Kaggle UPenn and Mayo Clinic Seizure Detection,Epilepsy_and_Abnormalities,1,34993,8,8,9.723366666666756,1254490500,34993,34993,"[16, 30, 36, 55, 64, 68, 72]","[499.906994, 5000.0]","{""documented"": 34993}","{""all_zero_channel"": 20, ""near_constant_channel"": 20, ""implausible_amplitude_or_unit"": 5, ""postprocess_sustained_high_amplitude"": 5}","{""ictal"": 1390, ""interictal"": 14329, ""publisher_test_label_hidden"": 19274}","{""native_monopolar_extracranial_or_skull_fixed_reference"": 34993}","{""documented_by_project_owner_exact_electrode_not_encoded"": 34993}",0,0
EEG-0030,OpenNeuro ds003029 Epilepsy iEEG Multicenter,Epilepsy_and_Abnormalities,1,102,31,31,7.956887500000003,1551599341,1683,28615,"[30, 44, 45, 46, 48, 49, 50, 52, 54, 55, 59, 62, 70, 71, 72, 76, 78, 80, 84, 85, 87, 88, 94, 97, 107, 113, 117, 136, 184]","[249.8750624687656, 499.7501249375312, 1000.0, 1001.001001001001, 2004.0080160320642]","{""verified_from_file"": 102}","{""channel_order_not_verified"": 102, ""postprocess_sustained_high_amplitude"": 2}","{""epilepsy_ictal_ieeg"": 102}","{""publisher iEEGReference is n/a; deposited contacts are retained without an invented rereference"": 102}","{""unknown_in_retained_source_metadata"": 102}",0,0
EEG-0031,SeizeIT2,Epilepsy_and_Abnormalities,1,2850,125,125,11626.24888888889,62015634693,3660,41854496,[2],[256.0],"{""verified_from_file"": 2850}","{""channel_order_not_verified"": 2850, ""postprocess_sustained_high_amplitude"": 405, ""flatline_ge_5s"": 1}","{""focal_epilepsy"": 2850}","{""publisher EEGReference is n/a; the two deposited channels are device-derived behind-the-ear/cross-head signals"": 2850}","{""unknown_in_retained_source_metadata"": 2850}",0,0
EEG-0032,Siena Scalp EEG,Epilepsy_and_Abnormalities,1,41,14,14,141.02055555555555,10370039060,90,507674,"[19, 29]",[512.0],"{""verified_from_file"": 41}","{""channel_order_not_verified"": 41, ""postprocess_sustained_high_amplitude"": 1, ""flatline_ge_5s"": 3}","{""recording_contains_publisher_annotated_seizure"": 41}","{""publisher_recorded_referential_scalp_channels_exact_reference_not_published"": 41}","{""unknown_not_published"": 41}",0,0
EEG-0033,TUEP (TUH Epilepsy),Epilepsy_and_Abnormalities,1,2808,200,200,626.7663888888889,28544274945,19189,2256359,[17],"[250.0, 256.0, 400.0, 512.0, 1000.0]","{""verified_from_file"": 2808}","{""postprocess_sustained_high_amplitude"": 166}","{""epilepsy"": 2244, ""no_epilepsy"": 564}","{""average_reference"": 2656, ""linked_ears"": 152}","{""documented_from_tuh_montage_directory_and_edf_labels"": 2808}",0,0
EEG-0034,TUEV (TUH Events),Epilepsy_and_Abnormalities,1,518,290,290,148.7447222222222,8418679066,113353,535481,[21],[250.0],"{""verified_from_file"": 518}","{""subject_id_not_verified"": 159, ""postprocess_sustained_high_amplitude"": 15}","{"""": 518}","{""mixed_average_or_linked_ears_referential"": 518}","{""documented_dataset_specific_but_not_encoded_in_pruned_path"": 518}",0,0
EEG-0035,TUSL (TUH Slowing),Epilepsy_and_Abnormalities,1,112,38,38,27.59638888888889,1550470271,300,99347,[21],"[250.0, 256.0, 400.0, 512.0]","{""verified_from_file"": 112}","{""postprocess_sustained_high_amplitude"": 3}","{"""": 112}","{""average_reference"": 88, ""linked_ears"": 24}","{""documented_from_tuh_montage_directory_and_edf_labels"": 112}",0,0
EEG-0036,TUSZ (TUH Seizure),Epilepsy_and_Abnormalities,1,8140,675,675,1474.7872222222222,67163246393,70790,5309234,[17],"[250.0, 256.0, 400.0, 512.0, 1000.0]","{""verified_from_file"": 8140}","{""postprocess_sustained_high_amplitude"": 359, ""flatline_ge_5s"": 4, ""near_constant_channel"": 3}","{""background"": 7043, ""seizure"": 1097}","{""average_reference"": 7567, ""linked_ears"": 573}","{""documented_from_tuh_montage_directory_and_edf_labels"": 8140}",0,0
EEG-0039,AD-Auditory,Neurodegenerative_Disorders,1,35,35,35,5.2027777777777775,264733530,636,18730,[19],[250.0],"{""inferred_from_eeglab_numeric_scale"": 35}","{""unit_not_verified"": 35}","{"""": 2, ""alzheimer_disease"": 17, ""healthy_control"": 10, ""mild_cognitive_impairment"": 6}","{""average"": 35}","{""documented_in_bids_eeg_sidecar"": 35}",0,0
EEG-0040,AD65 (Alzheimer/FTD),Neurodegenerative_Disorders,1,88,88,88,19.608416666666663,971129942,88,70561,[19],[500.0],"{""documented"": 88}","{""postprocess_sustained_high_amplitude"": 24}","{""alzheimer_disease"": 36, ""frontotemporal_dementia"": 23, ""healthy_control"": 29}","{""publisher conflict, eeg.json says A1 A2 while README says the shared referential montage used Cz"": 88}","{""conflicting_publisher_bids_sidecar_and_readme"": 88}",0,0
EEG-0041,Alzheimer Risk Classification Sample-enrichment EEG,Neurodegenerative_Disorders,1,44,44,44,3.9115555555555557,606572889,44,14060,[58],[1000.0],"{""verified_from_file"": 44}",{},"{""publisher_group_CTR"": 1, ""publisher_group_G1"": 27, ""publisher_group_G2"": 16}","{""right_mastoid"": 44}","{""documented_from_every_bids_eeg_json_as_Mastoide_derecha"": 44}",0,0
