ID,优先级,下载决策,队列属性,二级分类,数据集,服务器状态,已取得独立raw,精确时长已审计,已审计时长(h),文献时长(h),实体大小(GB),访问方式,下载方法,官方入口,申请/登录页面,建议路径,决策理由/下一步
EEG-0144,P0,已下载·待信号/时长审计,健康/人群,Sleep_and_Insomnia,Sleep-EDF (Expanded),COMPLETED,是,否,,3575.5916666666667,8.715274636,公开/登录后下载,PhysioNet：wget -r -N -c -np https://physionet.org/content/sleep-edfx/1.0.0/,https://physionet.org/content/sleep-edfx/1.0.0/,,03_Consciousness_and_State/Sleep_Staging/Sleep-EDF_Expanded,无需重复下载；补做 EEG 文件识别、subjects 和 duration 审计。
EEG-0122,P0,已下载·待信号/时长审计,健康/人群,Sleep_Health_and_PSG,Dreem Open Dataset – Healthy (DOD-H),COMPLETED_DIRECT_20260823,是,否,,205.54166666666666,21.872016312,公开/登录后下载,Zenodo 官方文件下载/API,https://zenodo.org/records/15900394,,08_Health_and_Population/Sleep_Health_and_PSG/Dreem_Open_Dataset_Healthy_DOD-H,无需重复下载；补做 EEG 文件识别、subjects 和 duration 审计。
EEG-0606,P0,下载中,疾病/临床,Sleep_Disordered_Breathing,UCDDB Sleep Apnea Database,NOT_IN_SERVER_AUDIT,否,否,,173.24166666666667,,公开/登录后下载,PhysioNet：wget -r -N -c -np https://physionet.org/content/ucddb/1.0.0/,https://physionet.org/content/ucddb/1.0.0/,,02_Healthcare_and_Disease/Sleep_Disordered_Breathing/UCDDB,SeaWulf Slurm 任务 2133731 正在续传；完成后立即运行 subjects / duration 文件级审计。
EEG-0345,P0,已下载·待信号/时长审计,健康/人群,Developmental_Clinical_Cohort,HBN-EEG Release 1,COMPLETED,是,否,,117.5,110.710683953,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds005505,,08_Health_and_Population/Developmental_Clinical_Cohort/HBN_EEG_R1_ds005505,无需重复下载；补做 EEG 文件识别、subjects 和 duration 审计。
EEG-0586,P0,已下载·待信号/时长审计,疾病/临床,帕金森病,Singh2021,COMPLETED_DIRECT_20260823,是,否,,58,23.488664219,公开/登录后下载,Hugging Face：huggingface-cli download 或 Git LFS,https://huggingface.co/datasets/jalauer/Singh2021,,02_Healthcare_and_Disease/Neurological_Disorders/Singh2021,无需重复下载；补做 EEG 文件识别、subjects 和 duration 审计。
EEG-0583,P0,已下载·待信号/时长审计,疾病/临床,精神分裂症,Albrecht2019,COMPLETED_DIRECT_20260823,是,否,,51,28.914297378,公开/登录后下载,Hugging Face：huggingface-cli download 或 Git LFS,https://huggingface.co/datasets/jalauer/Albrecht2019,,02_Healthcare_and_Disease/Mental_and_Developmental_Disorders/Albrecht2019,无需重复下载；补做 EEG 文件识别、subjects 和 duration 审计。
EEG-0584,P0,已下载·待信号/时长审计,健康/人群,精神健康风险表型,Gruendler2009,COMPLETED_DIRECT_20260823,是,否,,22,7.38592556,公开/登录后下载,Hugging Face：huggingface-cli download 或 Git LFS,https://huggingface.co/datasets/jalauer/Gruendler2009,,08_Health_and_Population/Mental_Health_Risk_Phenotype/Gruendler2009,无需重复下载；补做 EEG 文件识别、subjects 和 duration 审计。
EEG-0585,P0,已下载·待信号/时长审计,疾病/临床,帕金森病,Singh2020,COMPLETED_DIRECT_20260823,是,否,,7,4.068828665,公开/登录后下载,Hugging Face：huggingface-cli download 或 Git LFS,https://huggingface.co/datasets/jalauer/Singh2020,,02_Healthcare_and_Disease/Neurological_Disorders/Singh2020,无需重复下载；补做 EEG 文件识别、subjects 和 duration 审计。
EEG-0093,P0,已下载·待信号/时长审计,疾病/临床,Neurological_Disorders,EEG Mortality Dataset in Parkinson's Disease,COMPLETED_DIRECT_20260823,是,否,,,1.870057343,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds007020/versions/1.0.0,,02_Biometrics_and_Disease/Neurological_Disorders/PD-Mortality,无需重复下载；补做 EEG 文件识别、subjects 和 duration 审计。
EEG-0113,P0,已下载·待信号/时长审计,健康/人群,Sleep_Health_and_PSG,BOAS,COMPLETED,是,否,,,35.922487667,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds005555,,03_Consciousness_and_State/Sleep_Staging/BOAS,无需重复下载；补做 EEG 文件识别、subjects 和 duration 审计。
